Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link,Used In Blog,Used Slug,Used Title,Used Date,Category
41514109549,Yusofine All-in-1 Conditioner Serum Repair Damaged Hair Anti-Frizz Instant Soft & Shiny 200ML,158,10K+,yusofinestore,10.5%,₱16.59,https://shopee.ph/product/1613700747/41514109549,https://s.shopee.ph/5L5lvCt3w7,,,,,Beauty
29976804419,[FDA Approved] Tenderoo Baby Moisturizing Lotion Avocado Plant Extract Gentle Safe Soothing 200ml,159,10K+,Tenderoo Offical Store,10.5%,₱16.70,https://shopee.ph/product/1414583152/29976804419,https://s.shopee.ph/7pn6tnjXrc,,,,,Baby
16356471235,NI Classic Men S Casual Suit Pants 7 Colors Must Have For Fashionable And Relaxed Style Casual pants(COD),137,10K+,Burnight👚,14.5%,₱19.87,https://shopee.ph/product/727724221/16356471235,https://s.shopee.ph/7fTghUkBCb,,,,,Fashion
28935872271,【 Buy 2 Get 3】LBLS Ultra White Sunscreen Whitening Sunscreen UVA/UVB SPF50 PA++++ 50ml,55,10K+,Glow Haven Beauty Store,15.5%,₱8.53,https://shopee.ph/product/1097867608/28935872271,https://s.shopee.ph/7VAGVBkoXa,,,,,Beauty
29706390932,4 Pcs Athletic Short Shaping Stretch Women's Pants Seamless High Waist Underwear Girls Shorts,139,10K+,Care Focus,15.5%,₱21.55,https://shopee.ph/product/1153524325/29706390932,https://s.shopee.ph/7KqqIslRsZ,,,,,Fashion
29165376967,Orashare PNC03 3000mAh Capsule Mini Fast Charging Powerbank With TYPE-C/iPh Port Portable Power Bank,176,10K+,Orashare Official Store,12.5%,₱22.00,https://shopee.ph/product/264015657/29165376967,https://s.shopee.ph/7AXQ6Zm5DY,,,,,Tech
40073226589,"[Whitening Soap Seoul secret soap] Lighten SkinTone Fresh and Pleasant, Powerful Brighten Hydrate",110,10K+,MWOW PH,14.5%,₱15.95,https://shopee.ph/product/1644087970/40073226589,https://s.shopee.ph/70DzuGmiYX,,,,,Beauty
44102552993,Tenderoo Baby Moisturizing Facial Cream Natural Plant Formula Soothing Brightening Sunflower SeedOil,159,10K+,Tenderoo Offical Store,10.5%,₱16.70,https://shopee.ph/product/1414583152/44102552993,https://s.shopee.ph/6puZhxnLtW,,,,,Baby
29886201990,"4-piece set of men's boxer briefs, comfortable, breathable, soft, fashionable Korean style stripes",134,10K+,FashionHome,12.5%,₱16.75,https://shopee.ph/product/970407783/29886201990,https://s.shopee.ph/6fb9VenzEV,,,,,Other
24139210124,Fuzzy Wire Chenille Stems Handicraft Material 100Pcs Plush Tube DIY Kids Toy Twisted Stick,18,10K+,Flying Fish Aquarium,16.5%,₱2.97,https://shopee.ph/product/1219087662/24139210124,https://s.shopee.ph/9AIUUFeTA0,,,,,Home Essentials
